TrustName,Sex_Desc,Age,Catchment,Patients,TrustCode
University Hospitals Bristol And Weston NHS Foundation Trust,Male,15-19,"22,057",3200,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,20-24,"22,974",3215,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,25-29,"22,487",3356,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,30-34,"19,995",3471,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,35-39,"16,946",3505,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,40-44,"15,489",3570,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,45-49,"16,251",4315,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,50-54,"17,189",5286,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,55-59,"15,654",6534,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,60-64,"14,357",6376,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,65-69,"12,845",6772,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,70-74,"13,216",8224,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,75-79,"9,742",7386,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,80-84,"6,496",6321,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,85-89,"3,567",4300,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,90+,"1,609",2572,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,00-04,"18,687",14072,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,05-Sep,"36,897",4597,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,Oct-14,"34,818",3767,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,15-19,"19,705",4303,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,20-24,"22,342",5971,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,25-29,"21,443",8469,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,30-34,"18,796",10238,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,35-39,"16,561",7974,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,40-44,"14,403",4818,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,45-49,"14,540",4433,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,50-54,"16,078",5520,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,55-59,"14,917",6038,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,60-64,"14,344",5846,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,65-69,"13,290",6144,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,70-74,"14,100",7550,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,75-79,"10,683",7030,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,80-84,"7,946",6460,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,85-89,"5,222",5321,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Female,90+,"3,315",4221,RA7
Torbay And South Devon NHS Foundation Trust,Male,00-04,"5,813",4614,RA9
Torbay And South Devon NHS Foundation Trust,Male,05-Sep,"7,173",1288,RA9
Torbay And South Devon NHS Foundation Trust,Male,Oct-14,"6,632",868,RA9
Torbay And South Devon NHS Foundation Trust,Male,15-19,"5,602",868,RA9
Torbay And South Devon NHS Foundation Trust,Male,20-24,"5,577",1138,RA9
Torbay And South Devon NHS Foundation Trust,Male,25-29,"5,993",1251,RA9
Torbay And South Devon NHS Foundation Trust,Male,30-34,"6,336",1408,RA9
Torbay And South Devon NHS Foundation Trust,Male,35-39,"6,106",1313,RA9
Torbay And South Devon NHS Foundation Trust,Male,40-44,"5,946",1430,RA9
Torbay And South Devon NHS Foundation Trust,Male,45-49,"7,245",1900,RA9
Torbay And South Devon NHS Foundation Trust,Male,50-54,"8,509",2491,RA9
Torbay And South Devon NHS Foundation Trust,Male,55-59,"9,935",4621,RA9
Torbay And South Devon NHS Foundation Trust,Male,60-64,"8,487",3216,RA9
Torbay And South Devon NHS Foundation Trust,Male,65-69,"7,903",3723,RA9
